activityId,actors,category,subcategory,city
671,,展览休闲,展会,呼和浩特
672,,音乐会,其他音乐会,重庆
673,,曲苑杂坛,其他曲苑杂坛,苏州
674,,展览休闲,特色体验,东莞
675,,展览休闲,展会,上海
676,,展览休闲,特色体验,上海
677,,儿童亲子,其他儿童亲子,济南
678,,曲苑杂坛,其他曲苑杂坛,杭州
679,,儿童亲子,其他儿童亲子,济南
680,,展览休闲,特色体验,重庆
681,,话剧歌剧,话剧,重庆
682,,展览休闲,展会,沈阳
683,,话剧歌剧,话剧,上海
684,,音乐会,其他音乐会,南京
685,,曲苑杂坛,其他曲苑杂坛,烟台
686,,音乐会,其他音乐会,西安
687,,话剧歌剧,话剧,成都
688,,曲苑杂坛,戏曲,苏州
689,艺人：刘令飞,演唱会,其他演唱会,北京
690,,展览休闲,展会,长沙
691,,展览休闲,特色体验,成都
692,,展览休闲,特色体验,天津
693,,展览休闲,特色体验,天津
694,,展览休闲,特色体验,成都
695,,展览休闲,展会,天津
696,,话剧歌剧,音乐剧,西安
697,艺人：金圣权,话剧歌剧,音乐剧,上海
698,,儿童亲子,其他儿童亲子,绍兴
699,,曲苑杂坛,其他曲苑杂坛,成都
700,,展览休闲,展会,长沙
701,,展览休闲,展会,无锡
702,,展览休闲,展会,厦门
703,,话剧歌剧,话剧,上海
704,,展览休闲,特色体验,上海
705,,展览休闲,展会,北京
706,,话剧歌剧,音乐剧,舟山
707,,展览休闲,展会,杭州
708,,话剧歌剧,话剧,深圳
709,,话剧歌剧,音乐剧,上海
710,,舞蹈芭蕾,舞蹈,北京
711,,音乐会,其他音乐会,上海
712,,儿童亲子,其他儿童亲子,马鞍山
713,,演唱会,其他演唱会,广州
714,,音乐会,其他音乐会,广州
715,,话剧歌剧,话剧,广州
716,,儿童亲子,其他儿童亲子,石家庄
717,,曲苑杂坛,戏曲,广州
718,,儿童亲子,其他儿童亲子,长沙
719,,曲苑杂坛,其他曲苑杂坛,金华
720,,音乐会,其他音乐会,成都
721,,音乐会,其他音乐会,重庆
722,,音乐会,其他音乐会,重庆
723,,体育,其他体育,上海
724,,舞蹈芭蕾,舞蹈,西安
725,,展览休闲,展会,宁波
726,,展览休闲,展会,深圳
727,,话剧歌剧,话剧,上海
728,,儿童亲子,其他儿童亲子,重庆
729,,儿童亲子,其他儿童亲子,重庆
730,,曲苑杂坛,戏曲,成都
731,,儿童亲子,其他儿童亲子,重庆
732,,展览休闲,特色体验,青岛
733,,演唱会,其他演唱会,重庆
734,,音乐会,其他音乐会,上海
735,,演唱会,其他演唱会,西安
736,,音乐会,其他音乐会,上海
737,,曲苑杂坛,戏曲,昆明
738,,话剧歌剧,话剧,成都
739,,曲苑杂坛,戏曲,上海
740,,话剧歌剧,话剧,深圳
741,,话剧歌剧,话剧,深圳
742,,展览休闲,展会,天津
743,,话剧歌剧,话剧,深圳
744,,舞蹈芭蕾,舞蹈,南京
745,,话剧歌剧,话剧,南京
746,,演唱会,其他演唱会,重庆
747,,曲苑杂坛,戏曲,金华
748,,展览休闲,展会,深圳
749,,曲苑杂坛,戏曲,苏州
750,,曲苑杂坛,戏曲,常州
751,,儿童亲子,其他儿童亲子,上海
752,,儿童亲子,其他儿童亲子,西安
753,,演唱会,其他演唱会,重庆
754,,展览休闲,展会,成都
755,,话剧歌剧,话剧,上海
756,艺人：赵鹏,演唱会,其他演唱会,重庆
757,,舞蹈芭蕾,舞蹈,成都
758,,音乐会,其他音乐会,南京
759,,舞蹈芭蕾,舞蹈,上海
760,,展览休闲,展会,上海
761,,展览休闲,展会,上海
762,,展览休闲,展会,天津
763,,音乐会,其他音乐会,杭州
764,,音乐会,其他音乐会,长沙
765,,曲苑杂坛,其他曲苑杂坛,上海
766,,演唱会,其他演唱会,宁波
767,,话剧歌剧,话剧,上海
768,,话剧歌剧,话剧,上海
769,,话剧歌剧,话剧,上海
770,,展览休闲,其他展览休闲,杭州
771,,展览休闲,展会,北京
772,,展览休闲,特色体验,上海
773,,曲苑杂坛,戏曲,常州
774,,曲苑杂坛,戏曲,常州
775,,话剧歌剧,话剧,成都
776,,曲苑杂坛,其他曲苑杂坛,大连
777,,话剧歌剧,话剧,上海
778,,话剧歌剧,话剧,上海
779,,话剧歌剧,话剧,杭州
780,,展览休闲,展会,上海
781,,展览休闲,展会,上海
782,,展览休闲,展会,上海
783,,展览休闲,展会,上海
784,,展览休闲,展会,深圳
785,,展览休闲,特色体验,上海
786,,展览休闲,展会,北京
787,,展览休闲,展会,重庆
788,,展览休闲,展会,成都
789,,展览休闲,展会,北京
790,,展览休闲,展会,苏州
791,,展览休闲,展会,成都
792,,曲苑杂坛,其他曲苑杂坛,济南
793,,展览休闲,展会,上海
794,,展览休闲,展会,杭州
795,,话剧歌剧,话剧,成都
796,,展览休闲,展会,厦门
797,,展览休闲,展会,北京
798,,展览休闲,特色体验,上海
799,,展览休闲,特色体验,上海
800,,展览休闲,特色体验,北京
801,,话剧歌剧,话剧,成都
802,,曲苑杂坛,其他曲苑杂坛,杭州
803,,展览休闲,特色体验,昆明
804,,儿童亲子,其他儿童亲子,北京
805,,展览休闲,展会,上海
806,,展览休闲,展会,重庆
807,,话剧歌剧,话剧,济南
808,,演唱会,其他演唱会,成都
809,,话剧歌剧,话剧,深圳
810,,儿童亲子,其他儿童亲子,珠海
811,,音乐会,其他音乐会,珠海
812,,展览休闲,展会,深圳
813,,儿童亲子,其他儿童亲子,上海
