activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,0,儿童亲子,2495,石家庄,[],,1_1_609926923755,1804301941,False,0,0,0,0,【小橙堡】经典亲子音乐剧《寻梦的猫》,【小橙堡】经典亲子音乐剧《寻梦的猫》,50.0,50-120,120.0,[],609926923755,[],售票中,,2020.09.05 周六,3,0,,,石家庄大剧院中剧场,石家庄,91965,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01P88MRj2GdSDZKo7kK_!!2251059038.jpg
[],,0,7,展览休闲,872,上海,[],,1_1_608896788013,1794000584,False,0,1,0,0,「开展中」上海恋爱博物馆 独角兽田子坊旗舰店,「开展中」上海恋爱博物馆 独角兽田子坊旗舰店,68.0,68-160,160.0,[],608896788013,[],售票中,,2020.07.01-07.31,3,38,展会,,独角兽星空艺术馆(田子坊旗舰店),上海,2271003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01qFLNhr2GdSDRvJ6pk_!!2251059038.jpg
[],,0,4,舞蹈芭蕾,1580,杭州,[],,1_1_609563251021,1800665214,False,0,1,0,1,谢欣舞蹈剧场作品舞剧《未·知》领衔主演：谢欣、刘迦、潘宇,谢欣舞蹈剧场作品舞剧《未·知》领衔主演：谢欣、刘迦、潘宇,80.0,80-580,580.0,[],609563251021,[],售票中,,2020.10.31 周六,3,24,舞蹈,,杭州剧院,杭州,365,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01Cl9iU12GdSEn4MeXl_!!0-item_pic.jpg
[],,0,3,话剧歌剧,3225,兴安盟,[],,1_1_609065129954,1795684003,False,0,1,0,0,四川人民艺术剧院-话剧《苏东坡》,四川人民艺术剧院-话剧《苏东坡》,30.0,30-180,180.0,[],609065129954,[],售票中,,2020.08.29-08.30,3,19,话剧,,乌兰牧骑宫大剧院,兴安盟,1183033,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN0192yyGF2GdSDbTrQwR_!!2251059038.jpg
[],,0,7,展览休闲,1377,成都,[],,1_1_608150736286,1786540066,False,0,1,0,0,潜先森潜水——美人鱼潜水体验,潜先森潜水——美人鱼潜水体验,880.0,880,880.0,[],608150736286,[],售票中,,2019.11.23-2020.12.31,3,39,特色体验,,领跑健身恒温游泳池,成都,2513006,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01tUR5ZL2GdSDUPQftK_!!0-item_pic.jpg
[],,0,2,音乐会,872,上海,[],,1_1_608817587646,1793208580,False,0,1,0,1,光辉岁月-打击鼓前世今生专场演奏会,光辉岁月-打击鼓前世今生专场演奏会,88.0,88-228,228.0,[],608817587646,[],售票中,,2020.08.22 周六 14:30,3,16,室内乐及古乐,,黄浦剧场-小剧场,上海,61355,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01Vb1dDp2GdSDRgy1S4_!!2251059038.jpg
[],,0,0,儿童亲子,609,宜昌,[],,1_1_607874736207,1783780066,False,0,0,0,1,【小橙堡】奇思妙想童话剧《白雪公主》-宜昌站,【小橙堡】奇思妙想童话剧《白雪公主》-宜昌站,60.0,60-160,160.0,[],607874736207,[],售票中,,2020.11.08 周日,3,0,,,宜昌剧院,宜昌,60914,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01VkoQNJ2GdSDKm2igq_!!2251059038.jpg
[],,0,0,儿童亲子,923,佛山,[],,1_1_607325732963,1778290033,False,0,1,0,1,【小橙堡】经典成长童话《匹诺曹》-佛山站,【小橙堡】经典成长童话《匹诺曹》-佛山站,30.0,30-90,90.0,[],607325732963,[],售票中,,2020.11.08 周日,3,0,,,狮山青春兀剧场,佛山,1690018,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01ldoBdf2GdSDMR4nnb_!!0-item_pic.jpg
[],,0,7,展览休闲,1377,成都,[],,1_1_607904259881,1784075302,False,0,1,0,0,DIY自制Vintage耳饰（珠宝设计体验活动）,DIY自制Vintage耳饰（珠宝设计体验活动）,79.0,79-177,177.0,[],607904259881,[],售票中,,2020.09.13 周日,3,38,展会,,美洲花园棕榈湾,成都,1372017,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01FjtfA02GdSDL33vBK_!!0-item_pic.jpg
[],,0,5,曲苑杂坛,1229,昆明,[],,1_1_606617772821,1771210432,False,0,1,0,0,马家大院“大嘴款昆明”,马家大院“大嘴款昆明”,48.0,48,48.0,[],606617772821,[],售票中,,2020.07.08 周三,3,31,戏曲,,马家大院,昆明,91828,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01cAlkUQ2GdSDAi8bbD_!!0-item_pic.jpg
[],,0,7,展览休闲,872,上海,[],,1_1_607155062881,1776583332,False,0,0,0,0,「开展中」制作中：艺术与电影的工作场 余德耀美术馆,「开展中」制作中：艺术与电影的工作场 余德耀美术馆,100.0,100,100.0,[],607155062881,[],售票中,,2019.11.07-2020.08.30,3,38,展会,,上海余德耀美术馆,上海,92662,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01p75c6C2GdSEIuXNGH_!!0-item_pic.jpg
